ID,NAME,BATTING_Tests_Mat,BATTING_Tests_Inns,BATTING_Tests_NO,BATTING_Tests_Runs,BATTING_Tests_HS,BATTING_Tests_Ave,BATTING_Tests_BF,BATTING_Tests_SR,BATTING_Tests_100,BATTING_Tests_50,BATTING_ODIs_Mat,BATTING_ODIs_Inns,BATTING_ODIs_NO,BATTING_ODIs_Runs,BATTING_ODIs_HS,BATTING_ODIs_Ave,BATTING_ODIs_BF,BATTING_ODIs_SR,BATTING_ODIs_100,BATTING_ODIs_50,BATTING_T20Is_Mat,BATTING_T20Is_Inns,BATTING_T20Is_NO,BATTING_T20Is_Runs,BATTING_T20Is_HS,BATTING_T20Is_Ave,BATTING_T20Is_BF,BATTING_T20Is_SR,BATTING_T20Is_100,BATTING_T20Is_50,BATTING_First-class_Mat,BATTING_First-class_Inns,BATTING_First-class_NO,BATTING_First-class_Runs,BATTING_First-class_HS,BATTING_First-class_Ave,BATTING_First-class_BF,BATTING_First-class_SR,BATTING_First-class_100,BATTING_First-class_50,BATTING_T20s_Mat,BATTING_T20s_Inns,BATTING_T20s_NO,BATTING_T20s_Runs,BATTING_T20s_HS,BATTING_T20s_Ave,BATTING_T20s_BF,BATTING_T20s_SR,BATTING_T20s_100,BATTING_T20s_50,BOWLING_Tests_Mat,BOWLING_Tests_Inns,BOWLING_Tests_Balls,BOWLING_Tests_Runs,BOWLING_Tests_Wkts,BOWLING_Tests_Ave,BOWLING_Tests_Econ,BOWLING_Tests_SR,BOWLING_ODIs_Mat,BOWLING_ODIs_Inns,BOWLING_ODIs_Balls,BOWLING_ODIs_Runs,BOWLING_ODIs_Wkts,BOWLING_ODIs_Ave,BOWLING_ODIs_Econ,BOWLING_ODIs_SR,BOWLING_T20Is_Mat,BOWLING_T20Is_Inns,BOWLING_T20Is_Balls,BOWLING_T20Is_Runs,BOWLING_T20Is_Wkts,BOWLING_T20Is_BBI,BOWLING_T20Is_BBM,BOWLING_T20Is_Ave,BOWLING_T20Is_Econ,BOWLING_T20Is_SR,BOWLING_T20Is_4w,BOWLING_T20s_Mat,BOWLING_T20s_Inns,BOWLING_T20s_Balls,BOWLING_T20s_Runs,BOWLING_T20s_Wkts,BOWLING_T20s_BBI,BOWLING_T20s_BBM,BOWLING_T20s_Ave,BOWLING_T20s_Econ,BOWLING_T20s_SR
26875,Bishan Bedi,67,101,28,656,50*,9,,,0,1,10,7,2,31,13,6,70,44,0,0,,,,,,,,,,,370,426,111,3584,61,11,,,0,7,,,,,,,,,,,67,118,21364,7637,266,29,2,80,10,10,590,340,7,49,3,84,,,,,,,,,,,,,,,,,,,,,
26421,Ravichandran Ashwin,65,93,12,2361,124,29,4308,55,4,11,111,61,19,675,65,16,776,87,0,1,46,11,7,123,31*,31,115,107,0,0,109,149,26,3791,124,31,6738,56,6,19,216,77,30,625,46,13,550,114,0,0,65,122,18372,8700,342,25,3,54,111,109,6021,4937,150,33,5,40,46,46,1026,1193,52,44294,44294,23,7,20,2,216,213,4622,5280,217,44294,44294,24,7,21
237095,Murali Vijay,61,105,1,3982,167,38,8601,46,12,15,17,16,0,339,72,21,506,67,0,1,9,9,0,169,48,19,154,110,0,0,131,220,7,9116,266,43,18471,49,25,38,158,156,5,4000,127,26,3252,123,3,22,61,18,384,198,1,198,3,384,17,2,36,37,1,37,6,36,9,1,12,9,0,-,-,-,5,-,0,158,8,66,73,0,-,-,-,7,-
35577,Polly Umrigar,59,94,8,3631,223,42,,,12,14,,,,,,,,,,,,,,,,,,,,,243,350,41,16155,252*,52,,,49,80,,,,,,,,,,,59,50,4725,1473,35,42,2,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28763,Gautam Gambhir,58,104,5,4154,206,42,8067,51,9,22,147,143,11,5238,150*,40,6144,85,11,34,37,36,2,932,75,27,783,119,0,7,198,331,24,15153,233*,49,,,43,68,251,245,24,6402,93,29,5309,121,0,53,58,1,12,4,0,-,2,-,147,1,6,13,0,-,13,-,37,-,-,-,-,-,-,-,-,-,-,251,-,-,-,-,-,-,-,-,-
27591,Bhagwath Chandrasekhar,58,80,39,167,22,4,,,0,0,1,1,1,11,11*,-,13,85,0,0,,,,,,,,,,,246,244,114,600,25,5,,,0,0,,,,,,,,,,,58,97,15963,7199,242,30,3,66,1,1,56,36,3,12,4,19,,,,,,,,,,,,,,,,,,,,,
35656,Srinivas Venkataraghavan,57,76,12,748,64,12,,,0,2,15,9,4,54,26*,11,126,43,0,0,,,,,,,,,,,341,457,84,6617,137,18,,,1,24,,,,,,,,,,,57,96,14877,5634,156,36,2,95,15,14,868,542,5,108,4,174,,,,,,,,,,,,,,,,,,,,,
277916,Ajinkya Rahane,56,95,9,3488,188,41,6887,51,9,17,90,87,3,2962,111,35,3767,79,3,24,20,20,2,375,61,21,331,113,0,1,125,212,22,9649,265*,51,17613,55,29,42,182,175,19,4595,103*,29,3882,118,1,34,56,-,-,-,-,-,-,-,90,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,182,1,6,5,1,44201,44201,5,5,6
26962,Chandu Borde,55,97,11,3061,177*,36,,,5,18,,,,,,,,,,,,,,,,,,,,,251,370,57,12805,207*,41,,,30,72,,,,,,,,,,,55,54,5695,2417,52,46,3,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30936,Vijay Manjrekar,55,92,10,3208,189*,39,,,7,15,,,,,,,,,,,,,,,,,,,,,198,295,38,12832,283,50,,,38,56,,,,,,,,,,,55,6,204,44,1,44,1,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
